stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1399,1082,University at California,,42.309419,-83.06596,1,,0,,1
2040,1085,University at Randolph,,42.31018627,-83.06352678,1,,0,,1
1994,1087,University at Partington,,42.310798,-83.061505,1,,0,,1
1408,1089,University at Campbell,,42.311822,-83.058293,1,,0,,1
2433,2136,University at Curry,,42.312474,-83.056244,1,,0,,1
1405,1092,University at Cameron,,42.313173,-83.054048,1,,0,,1
2281,1094,University at Wellington,,42.31374732,-83.05219265,1,,0,,1
1494,1096,University at Crawford,,42.3145241,-83.0497462,1,,0,,1
1424,1098,University at Caron,,42.315465,-83.046823,1,,0,,1
1378,1100,University at Bruce,,42.315997,-83.045139,1,,0,,1
2434,2137,University at Church,,42.316573,-83.042837,1,,0,,1
2301,1103,Windsor Transit Terminal,,42.317872,-83.043526,1,,0,,1
2359,1106,Tecumseh at Howard,,42.29781129,-83.01749535,1,,0,,1
1838,1109,Tecumseh at Marentette,,42.29867934,-83.01307506,1,,0,,1
1974,1111,Tecumseh at Parent,,42.29908093,-83.01076772,1,,0,,1
1769,1113,Tecumseh at Forest,,42.299486,-83.008736,1,,0,,1
1991,1115,Tecumseh at Parkwood,,42.299899,-83.006549,1,,0,,1
1912,1117,Tecumseh at Moy,,42.30033251,-83.00437615,1,,0,,1
1806,1119,Tecumseh at Lincoln,,42.30076576,-83.00206576,1,,0,,1
1761,1121,Tecumseh at Kildare,,42.30138573,-82.9988857,1,,0,,1
1383,1123,Tecumseh at Byng,,42.30191649,-82.99604509,1,,0,,1
2258,1125,Tecumseh at Walker,,42.302507,-82.992992,1,,0,,1
1396,1128,Tecumseh at Cadillac,,42.30354288,-82.98765519,1,,0,,1
1442,1130,Tecumseh at Chandler,,42.30391714,-82.98565526,1,,0,,1
1877,1132,Tecumseh at Meldrum,,42.30440462,-82.98313516,1,,0,,1
1436,1134,Tecumseh at Central,,42.30507589,-82.97959726,1,,0,,1
1340,1135,Tecumseh at Aubin,,42.30555953,-82.97704699,1,,0,,1
1619,1137,Tecumseh at George,,42.30597953,-82.97487294,1,,0,,1
2093,1139,Tecumseh at Rossini,,42.306373,-82.972801,1,,0,,1
1607,1142,Tecumseh at Francois,,42.30676029,-82.97077374,1,,0,,1
2009,1144,Tecumseh at Pillette,,42.3073933,-82.9674514,1,,0,,1
1931,1146,Tecumseh at Norman,,42.30773,-82.965616,1,,0,,1
2290,1148,Tecumseh at Westminster,,42.308161,-82.963273,1,,0,,1
1596,1150,Tecumseh at Ford,,42.30871488,-82.96023813,1,,0,,1
2183,1152,Rivard at Tecumseh,,42.30867116,-82.95795535,1,,0,,1
1263,1153,Rivard at Adstoll,,42.30763238,-82.95714762,1,,0,,1
2084,1156,Rivard at Rose,,42.304969,-82.955866,1,,0,,1
1754,1157,Rose at Jos St. Louis,,42.305197,-82.953501,1,,0,,1
1820,1161,Rose atLloyd George,,42.306341,-82.950179,1,,0,,1
2215,1163,Roseville at Roseville School,,42.307423,-82.946585,1,,0,,1
2217,1165,Roseville at Thornberry,,42.307967,-82.94481499,1,,0,,1
1447,1167,Roseville at Charlie Brooks,,42.30985003,-82.94323923,1,,0,,1
2184,1169,Roseville at Tecumseh,,42.31157027,-82.944319,1,,0,,1
2206,1171,Tecumseh Rd. at Eastpark Plaza,,42.312026,-82.942525,1,,0,,1
2209,1173,Tecumseh Mall Rear Entrance,,42.315997,-82.936179,1,,0,,1
1783,1175,Tecumseh at Lauzon Parkway,,42.313069,-82.93708,1,,0,,1
1330,1177,Tecumseh at Annie,,42.31369,-82.933899,1,,0,,1
1785,1179,Tecumseh at Lauzon,,42.314074,-82.930852,1,,0,,1
1416,1181,Tecumseh at Canadian Tire,,42.314157,-82.928231,1,,0,,1
2037,1183,Tecumseh at Rafih,,42.31423314,-82.92433752,1,,0,,1
2002,1185,Tecumseh at Penang,,42.31417556,-82.92218859,1,,0,,1
1300,1187,Tecumseh at Metro Plaza,,42.314037,-82.919125,1,,0,,1
2186,1189,Forest Glade at Tecumseh,,42.313665,-82.916925,1,,0,,1
1545,1191,Forest Glade at Esplanade,,42.311607,-82.916426,1,,0,,1
2062,1193,Forest Glade at Ridge,,42.308879,-82.915766,1,,0,,1
2295,1195,Forest Glade at Wildwood,,42.306771,-82.913919,1,,0,,1
2211,1375,Tecumseh Mall Rear Entrance,,42.316026,-82.936944,1,,0,,1
1782,1374,Lauzon Parkway at Lauzon Line,,42.32017151,-82.93820326,1,,0,,1
1255,1372,Lauzon at Tranby,,42.32447667,-82.93813309,1,,0,,1
1252,1370,Lauzon at Trinity Towers,,42.325721,-82.93892,1,,0,,1
1788,1368,Lauzon at Little River,,42.326987,-82.939693,1,,0,,1
2390,1076,Little River at Adair,,42.327159,-82.937591,1,,0,,1
1618,1363,Little River Acres at Little Riv,,42.326924,-82.934772,1,,0,,1
1605,1361,Little River Acres at East Moor,,42.324932,-82.933836,1,,0,,1
1491,1359,Little River Acres @ Copperfield,,42.324002,-82.930596,1,,0,,1
1312,1355,Little River Acres at Aire,,42.32568611,-82.92849387,1,,0,,1
1818,1354,Little RiverAcres at LittleRiver,,42.32702385,-82.92852264,1,,0,,1
2162,1352,Riverdale at St. Rose,,42.329565,-82.929093,1,,0,,1
1747,1350,Riverdale at Jerome,,42.33155382,-82.92957352,1,,0,,1
2320,1348,Riverdale at Wyandotte,,42.333385,-82.930004,1,,0,,1
1880,1346,Riverdale at Menard,,42.335959,-82.930618,1,,0,,1
2070,1344,Riverside at Riverdale,,42.338811,-82.931317,1,,0,,1
1297,1340,Riverside at Solidarity Towers,,42.341206,-82.935289,1,,0,,1
1294,1338,Riverside at Riverside Towers,,42.34243354,-82.9380323,1,,0,,1
1292,1336,Riverside at Shoreline Towers,,42.342363,-82.939758,1,,0,,1
1291,1334,Riverside at Dieppe,,42.34148507,-82.94320541,1,,0,,1
1787,1329,Lauzon at Riverside Dr. E.,,42.339725,-82.947907,1,,0,,1
1431,1327,Lauzon at Cecile,,42.33818257,-82.94691626,1,,0,,1
1432,1325,Lauzon at Cedarview,,42.33546542,-82.94523513,1,,0,,1
2318,1323,Lauzon at Wyandotte,,42.333924,-82.944273,1,,0,,1
1854,1321,Wyandotte at Matthew Brady,,42.33305,-82.946684,1,,0,,1
